Depth [m],Area [m2]
7.56,3031589.2
7.57,3030677.5
7.58,3029783.3
7.59,3028934.7
7.6,3028058.4
7.61,3027217.4
7.62,3026412
7.63,3025625.4
7.64,3024743.7
7.65,3023886.6
7.66,3023010
7.67,3022073
7.68,3021215.3
7.69,3020279.2
7.7,3019348.8
7.71,3018416.2
7.72,3017507.7
7.73,3016649.6
7.74,3015758
7.75,3014890.1
7.76,3013984.7
7.77,3013096.2
7.78,3012219.8
7.79,3011377.8
7.8,3010492.8
7.81,3009652.8
7.82,3008797.9
7.83,3007976.7
7.84,3007109.6
7.85,3006262
7.86,3005413.7
7.87,3004519.5
7.88,3003718.5
7.89,3002802.8
7.9,3001905.3
7.91,3001045.6
7.92,3000205.1
7.93,2999314.7
7.94,2998433.5
7.95,2997550.8
7.96,2996670.5
7.97,2995766
7.98,2994888.1
7.99,2993969.2
8,2993127.5
8.01,2992217.3
8.02,2991340.1
8.03,2990467.4
8.04,2989537.2
8.05,2988632.3
8.06,2987728.5
8.07,2986846.9
8.08,2985952.4
8.09,2985055.5
8.1,2984186.9
8.11,2983334.5
8.12,2982392.1
8.13,2981460
8.14,2980516.3
8.15,2979584.7
8.16,2978627
8.17,2977676.3
8.18,2976767.3
8.19,2975829
8.2,2974907.5
8.21,2973980.8
8.22,2973037.9
8.23,2972134.1
8.24,2971188.4
8.25,2970250.801
8.26,2969308.3
8.27,2968353.4
8.28,2967410.5
8.29,2966475.7
8.3,2965546.8
8.31,2964546.9
8.32,2963581.4
8.33,2962605.3
8.34,2961651.1
8.35,2960649.5
8.36,2959662.1
8.37,2958706.7
8.38,2957741.6
8.39,2956704.3
8.4,2955719.9
8.41,2954721.8
8.42,2953659.4
8.43,2952568.3
8.44,2951477.8
8.45,2950412.4
8.46,2949313.7
8.47,2948187.2
8.48,2947102.6
8.49,2946038.2
8.5,2944977.1
8.51,2943910.399
8.52,2942833.3
8.53,2941751.8
8.54,2940650.9
8.55,2939546.4
8.56,2938329
8.57,2937199.9
8.58,2936115.9
8.59,2935083.8
8.6,2934023
8.61,2932958.1
8.62,2931941.2
8.63,2930932
8.64,2929840.1
8.65,2928829.7
8.66,2927759.7
8.67,2926722.7
8.68,2925715.8
8.69,2924694.3
8.7,2923626.9
8.71,2922558.3
8.72,2921459.4
8.73,2920325
8.74,2919230.3
8.75,2918010.8
8.76,2916850.899
8.77,2915702.3
8.78,2914468.6
8.79,2913313.9
8.8,2912179.2
8.81,2911041.4
8.82,2909907.5
8.83,2908720
8.84,2907580.4
8.85,2906421.4
8.86,2905282.5
8.87,2904099.3
8.88,2902935.4
8.89,2901812.9
8.9,2900607
8.91,2899482.7
8.92,2898301.9
8.93,2897116.6
8.94,2895880.1
8.95,2894727.5
8.96,2893505.9
8.97,2892280.7
8.98,2891078.7
8.99,2889919.9
9,2888752.8
9.01,2887540.999
9.02,2886347.7
9.03,2885155.1
9.04,2883992
9.05,2882780
9.06,2881552.3
9.07,2880378.7
9.08,2879178.6
9.09,2878007.4
9.1,2876789.4
9.11,2875512.5
9.12,2874239.6
9.13,2872968
9.14,2871753.2
9.15,2870511.7
9.16,2869308.7
9.17,2868112.9
9.18,2866865.4
9.19,2865690.6
9.2,2864495.7
9.21,2863338
9.22,2862187.5
9.23,2861044.8
9.24,2859934.9
9.25,2858880
9.26,2857802.8
9.27,2856750.9
9.28,2855633.3
9.29,2854553.4
9.3,2853477.5
9.31,2852362.8
9.32,2851281.8
9.33,2850246.4
9.34,2849163.8
9.35,2848111.3
9.36,2847038.9
9.37,2846013
9.38,2844965.4
9.39,2843904.4
9.4,2842890.5
9.41,2841863.5
9.42,2840772.5
9.43,2839703.5
9.44,2838636.3
9.45,2837573.1
9.46,2836470
9.47,2835418.5
9.48,2834416.9
9.49,2833384.9
9.5,2832365.3
9.51,2831287.7
9.52,2830222.7
9.53,2829139.9
9.54,2828110.2
9.55,2827032.9
9.56,2825928.7
9.57,2824837.6
9.58,2823600.7
9.59,2822475.2
9.6,2821291.5
9.61,2820215.2
9.62,2819072.3
9.63,2817894
9.64,2816740.5
9.65,2815489
9.66,2814191.9
9.67,2812929.3
9.68,2811626
9.69,2810326
9.7,2809046.6
9.71,2807767.7
9.72,2806537.5
9.73,2805271
9.74,2804017.8
9.75,2802802.4
9.76,2801554.7
9.77,2800276.4
9.78,2798983.6
9.79,2797581.6
9.8,2796123.8
9.81,2794592.8
9.82,2793112.7
9.83,2791608.9
9.84,2790168.2
9.85,2788575.3
9.86,2786922.8
9.87,2785321.9
9.88,2783772.5
9.89,2782283.1
9.9,2780761.3
9.91,2779184
9.92,2777584.5
9.93,2776067.4
9.94,2774553.2
9.95,2773006.7
9.96,2771342
9.97,2769694
9.98,2768092.8
9.99,2766461.5
10,2764760.1
10.01,2763101.5
10.02,2761452.4
10.03,2759895.6
10.04,2758343
10.05,2756801.5
10.06,2755200.9
10.07,2753549.5
10.08,2751841.1
10.09,2750330
10.1,2748774.6
10.11,2747338.5
10.12,2745781.4
10.13,2744200.6
10.14,2742559.8
10.15,2740813
10.16,2739043.4
10.17,2737406.1
10.18,2735825.5
10.19,2734296.5
10.2,2732699
10.21,2731115.2
10.22,2729591.5
10.23,2728020.9
10.24,2726451.5
10.25,2724891.8
10.26,2723376
10.27,2721910.7
10.28,2720483.4
10.29,2718958
10.3,2717512.7
10.31,2716070.3
10.32,2714698.5
10.33,2713196.4
10.34,2711710
10.35,2710241.4
10.36,2708772
10.37,2707316.7
10.38,2705842.1
10.39,2704341.6
10.4,2702802.9
10.41,2701287
10.42,2699852.7
10.43,2698447.6
10.44,2696953.4
10.45,2695481
10.46,2694029.3
10.47,2692611.7
10.48,2691185.8
10.49,2689670.6
10.5,2688111.9
10.51,2686540.8
10.52,2684995.5
10.53,2683413.9
10.54,2681846.2
10.55,2680307.5
10.56,2678795
10.57,2677234.4
10.58,2675638.8
10.59,2674037.3
10.6,2672311.4
10.61,2670633.6
10.62,2668772.5
10.63,2667164
10.64,2665700.1
10.65,2664267.2
10.66,2662937.4
10.67,2661561.5
10.68,2660281.1
10.69,2658896.5
10.7,2657562
10.71,2656241.8
10.72,2654891.1
10.73,2653524.4
10.74,2652149.9
10.75,2650783
10.76,2649460.8
10.77,2648225.5
10.78,2646874.7
10.79,2645504.1
10.8,2644222
10.81,2642896.9
10.82,2641586.9
10.83,2640361.6
10.84,2639050.4
10.85,2637706.8
10.86,2636451.5
10.87,2635314.1
10.88,2634135
10.89,2632989.2
10.9,2631860
10.91,2630736.1
10.92,2629624
10.93,2628553.3
10.94,2627513.2
10.95,2626465.1
10.96,2625405.6
10.97,2624337.4
10.98,2623290
10.99,2622283.7
11,2621249.9
11.01,2620219.7
11.02,2619219.5
11.03,2618231.3
11.04,2617214
11.05,2616192.4
11.06,2615204.8
11.07,2614174
11.08,2613216.3
11.09,2612193
11.1,2611227.7
11.11,2610226.6
11.12,2609238.6
11.13,2608248.5
11.14,2607225.4
11.15,2606227.2
11.16,2605209.9
11.17,2604237.1
11.18,2603220.7
11.19,2602198
11.2,2601283.2
11.21,2600281
11.22,2599248.5
11.23,2598274
11.24,2597231
11.25,2596206.4
11.26,2595169.1
11.27,2594154.3
11.28,2593141.4
11.29,2592101.3
11.3,2591049.7
11.31,2589987.4
11.32,2588907.2
11.33,2587879
11.34,2586764.1
11.35,2585719
